from,to,active,date,country_from,city_from,country_to,city_to,cum_case
SHJ,PEW,0,,United Arab Emirates,Sharjah,Pakistan,Peshawar,6781.0
SHJ,STV,0,,United Arab Emirates,Sharjah,India,Surat,6781.0
SHJ,PRG,0,,United Arab Emirates,Sharjah,Czech Republic,Prague,6781.0
SHJ,GYD,0,,United Arab Emirates,Sharjah,Azerbaijan,Baku,6781.0
SHJ,IKA,0,,United Arab Emirates,Sharjah,Iran,Tehran,6781.0
SHJ,ATZ,0,,United Arab Emirates,Sharjah,Egypt,Asyut,6781.0
SHJ,OHS,0,,United Arab Emirates,Sharjah,Oman,Sohar,6781.0
SHJ,LYP,0,,United Arab Emirates,Sharjah,Pakistan,Faisalabad,6781.0
SHJ,TIF,0,,United Arab Emirates,Sharjah,Saudi Arabia,Taif,6781.0
SHJ,CAI,0,,United Arab Emirates,Sharjah,Egypt,Cairo,6781.0
SHJ,SLL,0,,United Arab Emirates,Sharjah,Oman,Salalah,6781.0
SHJ,HMB,0,,United Arab Emirates,Sharjah,Egypt,Sohag,6781.0
SHJ,KHI,0,,United Arab Emirates,Sharjah,Pakistan,Karachi,6781.0
SHJ,DAC,0,,United Arab Emirates,Sharjah,Bangladesh,Dhaka,6781.0
SHJ,LRR,0,,United Arab Emirates,Sharjah,Iran,Lar,6781.0
SHJ,ASM,0,,United Arab Emirates,Sharjah,Eritrea,Asmara,6781.0
SHJ,BOM,0,,United Arab Emirates,Sharjah,India,Bombay,6781.0
SHJ,ISB,0,,United Arab Emirates,Sharjah,Pakistan,Islamabad,6781.0
SHJ,AMD,0,,United Arab Emirates,Sharjah,India,Ahmedabad,6781.0
SHJ,CMB,0,,United Arab Emirates,Sharjah,Sri Lanka,Colombo,6781.0
SHJ,SJJ,0,,United Arab Emirates,Sharjah,Bosnia and Herzegovina,Sarajevo,6781.0
SHJ,SKT,0,,United Arab Emirates,Sharjah,Pakistan,Sialkot,6781.0
SHJ,IST,0,,United Arab Emirates,Sharjah,Turkey,Istanbul,6781.0
SHJ,TZX,0,,United Arab Emirates,Sharjah,Turkey,Trabzon,6781.0
SHJ,KBP,0,,United Arab Emirates,Sharjah,Ukraine,Kiev,6781.0
SHJ,AMM,0,,United Arab Emirates,Sharjah,Jordan,Amman,6781.0
SHJ,GOI,0,,United Arab Emirates,Sharjah,India,Goa,6781.0
SHJ,ALA,0,,United Arab Emirates,Sharjah,Kazakhstan,Alma-Ata,6781.0
SHJ,NBO,0,,United Arab Emirates,Sharjah,Kenya,Nairobi,6781.0
SHJ,CCJ,0,,United Arab Emirates,Sharjah,India,Calicut,6781.0
SHJ,HAS,0,,United Arab Emirates,Sharjah,Saudi Arabia,Ha'il,6781.0
SHJ,KTM,0,,United Arab Emirates,Sharjah,Nepal,Kathmandu,6781.0
SHJ,DEL,0,,United Arab Emirates,Sharjah,India,Delhi,6781.0
SHJ,IXC,0,,United Arab Emirates,Sharjah,India,Chandigarh,6781.0
SHJ,AJF,0,,United Arab Emirates,Sharjah,Saudi Arabia,Al,6781.0
SHJ,HBE,0,,United Arab Emirates,Sharjah,Egypt,Alexandria,6781.0
SHJ,GIZ,0,,United Arab Emirates,Sharjah,Saudi Arabia,Gizan,6781.0
SHJ,NJF,0,,United Arab Emirates,Sharjah,Iraq,Najaf,6781.0
SHJ,MED,0,,United Arab Emirates,Sharjah,Saudi Arabia,Medina,6781.0
SHJ,KBL,0,,United Arab Emirates,Sharjah,Afghanistan,Kabul,6781.0
SHJ,HGA,0,,United Arab Emirates,Sharjah,Somalia,Hargeisa,6781.0
SHJ,KUL,0,,United Arab Emirates,Sharjah,Malaysia,Kuala,6781.0
SHJ,MHD,0,,United Arab Emirates,Sharjah,Iran,Mashhad,6781.0
SHJ,UET,0,,United Arab Emirates,Sharjah,Pakistan,Quetta,6781.0
SHJ,JAI,0,,United Arab Emirates,Sharjah,India,Jaipur,6781.0
SHJ,ATQ,0,,United Arab Emirates,Sharjah,India,Amritsar,6781.0
SHJ,SYZ,0,,United Arab Emirates,Sharjah,Iran,Shiraz,6781.0
SHJ,DME,0,,United Arab Emirates,Sharjah,Russia,Moscow,6781.0
SHJ,BLR,0,,United Arab Emirates,Sharjah,India,Bangalore,6781.0
SHJ,ELQ,0,,United Arab Emirates,Sharjah,Saudi Arabia,Buraydah,6781.0
SHJ,LOS,0,,United Arab Emirates,Sharjah,Nigeria,Lagos,6781.0
SHJ,DMM,0,,United Arab Emirates,Sharjah,Saudi Arabia,Dammam,6781.0
SHJ,MCT,0,,United Arab Emirates,Sharjah,Oman,Muscat,6781.0
SHJ,TUK,0,,United Arab Emirates,Sharjah,Pakistan,Turbat,6781.0
SHJ,BAH,0,,United Arab Emirates,Sharjah,Bahrain,Muharraq,6781.0
SHJ,BGW,0,,United Arab Emirates,Sharjah,Iraq,Baghdad,6781.0
SHJ,EBL,0,,United Arab Emirates,Sharjah,Iraq,Erbil,6781.0
SHJ,VNS,0,,United Arab Emirates,Sharjah,India,Varanasi,6781.0
SHJ,CNN,0,,United Arab Emirates,Sharjah,India,Kannur,6781.0
SHJ,COK,0,,United Arab Emirates,Sharjah,India,Kochi,6781.0
SHJ,YNB,0,,United Arab Emirates,Sharjah,Saudi Arabia,Yenbo,6781.0
SHJ,VIE,0,,United Arab Emirates,Sharjah,Austria,Vienna,6781.0
SHJ,JED,0,,United Arab Emirates,Sharjah,Saudi Arabia,Jeddah,6781.0
SHJ,TAS,0,,United Arab Emirates,Sharjah,Uzbekistan,Tashkent,6781.0
SHJ,SAW,0,,United Arab Emirates,Sharjah,Turkey,Istanbul,6781.0
SHJ,MAA,0,,United Arab Emirates,Sharjah,India,Madras,6781.0
SHJ,HYD,0,,United Arab Emirates,Sharjah,India,Hyderabad,6781.0
SHJ,TRV,0,,United Arab Emirates,Sharjah,India,Trivandrum,6781.0
SHJ,TRZ,0,,United Arab Emirates,Sharjah,India,Tiruchchirappalli,6781.0
ADE,JIB,0,2020-04-20,Yemen,Aden,Djibouti,Djibouti,1.0
ANR,LUZ,0,2020-04-20,Belgium,Antwerp,Poland,Swidnik,38496.0
ANR,SPU,0,2020-04-20,Belgium,Antwerp,Croatia,Split,38496.0
ANR,INN,0,2020-04-20,Belgium,Antwerp,Austria,Innsbruck,38496.0
ANR,IBZ,0,2020-04-20,Belgium,Antwerp,Spain,Ibiza,38496.0
ANR,RMU,0,2020-04-20,Belgium,Antwerp,Spain,Murcia,38496.0
ANR,NBE,0,2020-04-20,Belgium,Antwerp,Tunisia,Enfidha,38496.0
ANR,PMI,0,2020-04-20,Belgium,Antwerp,Spain,Palma,38496.0
ANR,LCY,0,2020-04-20,Belgium,Antwerp,United Kingdom,London,38496.0
ANR,TNG,0,2020-04-20,Belgium,Antwerp,Morocco,Tanger,38496.0
ANR,NDR,0,2020-04-20,Belgium,Antwerp,Morocco,Nador,38496.0
ANR,AGP,0,2020-04-20,Belgium,Antwerp,Spain,Malaga,38496.0
ANR,ALC,0,2020-04-20,Belgium,Antwerp,Spain,Alicante,38496.0
BRU,FCO,1,2020-04-21,Belgium,Brussels,Italy,Rome,38496.0
BRU,FRA,1,2020-04-21,Belgium,Brussels,Germany,Frankfurt,38496.0
BRU,AMS,1,2020-04-21,Belgium,Brussels,Netherlands,Amsterdam,38496.0
BRU,ATH,1,2020-04-22,Belgium,Brussels,Greece,Athens,38496.0
BRU,ADD,1,2020-04-22,Belgium,Brussels,Ethiopia,Addis,38496.0
BRU,HEL,1,2020-04-23,Belgium,Brussels,Finland,Helsinki,38496.0
BRU,DUB,1,2020-04-24,Belgium,Brussels,Ireland,Dublin,38496.0
BRU,MAD,1,2020-04-27,Belgium,Brussels,Spain,Madrid,38496.0
BRU,BUD,1,2020-04-27,Belgium,Brussels,Hungary,Budapest,38496.0
BRU,WAW,1,2020-04-27,Belgium,Brussels,Poland,Warsaw,38496.0
BRU,KEF,1,2020-04-27,Belgium,Brussels,Iceland,Keflavik,38496.0
BRU,BEY,1,2020-04-27,Belgium,Brussels,Lebanon,Beirut,38496.0
BRU,DXB,0,,Belgium,Brussels,United Arab Emirates,Dubai,38496.0
BRU,LJU,0,,Belgium,Brussels,Slovenia,Ljubljana,38496.0
BRU,BCN,0,,Belgium,Brussels,Spain,Barcelona,38496.0
BRU,BCM,0,,Belgium,Brussels,Romania,Bacau,38496.0
BRU,PSA,0,,Belgium,Brussels,Italy,Pisa,38496.0
BRU,YUL,0,,Belgium,Brussels,Canada,Montreal,38496.0
BRU,TBS,0,,Belgium,Brussels,Georgia,Tbilisi,38496.0
BRU,AOE,0,,Belgium,Brussels,Turkey,Eskisehir,38496.0
BRU,TLL,0,,Belgium,Brussels,Estonia,Tallinn,38496.0
BRU,PEK,0,,Belgium,Brussels,China,Beijing,38496.0
BRU,EVN,0,,Belgium,Brussels,Armenia,Yerevan,38496.0
BRU,GRO,0,,Belgium,Brussels,Spain,Gerona,38496.0
BRU,BOJ,0,,Belgium,Brussels,Bulgaria,Bourgas,38496.0
