from,to,active
NSI,LBV,1
NSI,NBO,0
NSI,ABV,0
NSI,CMN,0
NSI,IST,0
BVC,BHX,1
BVC,LGW,1
BVC,MAN,1
BVC,LIS,0
SID,BRU,1
SID,FOR,1
SID,POA,1
SID,REC,1
SID,BSL,1
SID,CDG,1
SID,CGN,1
SID,DUS,1
SID,FRA,1
SID,HAM,1
SID,HAJ,1
SID,MUC,1
SID,STR,1
SID,MXP,1
SID,FCO,1
SID,LOS,1
SID,LIS,1
SID,TMS,1
SID,DSS,1
SID,BHX,1
SID,BRS,1
SID,LGW,1
SID,MAN,1
SID,BZZ,1
SID,BOS,1
SID,IAD,1
SID,LUX,0
SID,OPO,0
SID,SSA,0
SID,LPA,0
SID,VRN,0
RAI,REC,1
RAI,LIS,1
RAI,DSS,1
RAI,BOS,1
RAI,OXB,0
RAI,PDL,0
RAI,CMN,0
VXE,LIS,0
BGF,DLA,1
BGF,NSI,1
BGF,NBO,1
BGF,CMN,1
BGF,EBB,1
BGF,COO,0
NDJ,DLA,1
NDJ,CAI,1
NDJ,ADD,1
NDJ,CDG,1
NDJ,NIM,1
NDJ,ABV,1
NDJ,KRT,1
NDJ,CMN,0
NDJ,ABJ,0
NDJ,FIH,0
NDJ,LBV,0
HAH,NBO,1
HAH,TNR,1
HAH,MJN,1
HAH,DAR,1
HAH,ADD,0
HAH,RUN,0
ABJ,ALG,1
ABJ,COO,1
ABJ,BOY,1
ABJ,OUA,1
ABJ,PNR,1
ABJ,FIH,1
ABJ,ADD,1
ABJ,CDG,1
ABJ,ACC,1
ABJ,CKY,1
ABJ,ROB,1
ABJ,BKO,1
ABJ,CMN,1
ABJ,NIM,1
ABJ,ABV,1
ABJ,LOS,1
ABJ,DSS,1
ABJ,FNA,1
ABJ,LFW,1
ABJ,TUN,1
ABJ,JFK,1
ABJ,NBO,0
ABJ,BEY,0
ABJ,IST,0
ABJ,DLA,0
ABJ,ORY,0
ABJ,LBV,0
ABJ,NSI,0
ABJ,BRU,0
ABJ,LIS,0
GOM,BUX,1
GOM,FMI,1
GOM,KND,1
GOM,FIH,1
GOM,FKI,1
GOM,BKY,1
GOM,EBB,0
FIH,LAD,1
FIH,BZV,1
FIH,ABJ,1
FIH,GOM,1
FIH,KGA,1
FIH,KND,1
FIH,FKI,1
FIH,FBM,1
FIH,MDK,1
FIH,MJM,1
FIH,ADD,1
FIH,CDG,1
FIH,NBO,1
FIH,JNB,1
FIH,LFW,1
FIH,KGL,0
FIH,CMN,0
FIH,IST,0
FIH,DLA,0
FIH,PNR,0
FIH,LBV,0
FIH,BRU,0
FKI,GOM,1
FKI,KND,1
FKI,FIH,1
FKI,EBB,0
FBM,FMI,1
FBM,FIH,1
FBM,KWZ,1
FBM,MJM,1
FBM,ADD,1
FBM,NBO,1
FBM,JNB,1
FBM,LUN,1
FBM,NLA,1
FBM,LLW,0
BZV,COO,1
BZV,CDG,1
BZV,LBV,1
BZV,NBO,1
BZV,CMN,1
BZV,LAD,0
BZV,KGL,0
BZV,DLA,0
PNR,COO,1
PNR,DLA,1
PNR,ABJ,1
PNR,SSG,1
PNR,CDG,1
PNR,LBV,1
PNR,POG,1
PNR,ADD,0
PNR,IST,0
JIB,ADD,1
JIB,DIR,1
JIB,NBO,1
JIB,DOH,1
JIB,HGA,1
JIB,MGQ,1
