from,to,active,date
BOS,ICN,0,
BOS,CUN,0,
BOS,IST,0,
BOS,SID,0,
BOS,STT,0,
BOS,GRU,0,
BOS,SDQ,0,
BOS,ZRH,0,
BOS,LIS,0,
BOS,TER,0,
BOS,VIE,0,
BOS,CDG,0,
BOS,MAD,0,
BOS,DOH,0,
BOS,BGI,0,
BOS,LIR,0,
BOS,RAI,0,
BOS,YUL,0,
BOS,PAP,0,
BOS,EDI,0,
BOS,GCM,0,
BOS,DXB,0,
BOS,SXM,0,
BOS,YYC,0,
BOS,PTY,0,
BOS,HAV,0,
BOS,AUA,0,
BOS,PDL,0,
BOS,POP,0,
BOS,BCN,0,
BOS,BDA,0,
BOS,NAS,0,
BOS,AMS,0,
BOS,HKG,0,
BOS,CPH,0,
BOS,YHZ,0,
BOS,UVF,0,
BOS,MUC,0,
BOS,PVG,0,
BOS,MAN,0,
BOS,YOW,0,
BOS,PEK,0,
BOS,NRT,0,
BOS,FCO,0,
BOS,PLS,0,
BOS,FRA,0,
BSI,MNL,0,2020-04-06
BWI,GCM,0,2020-04-06
BWI,LHR,0,2020-04-06
BWI,YYZ,0,2020-04-06
BWI,MBJ,0,2020-04-06
BWI,AUA,0,2020-04-06
BWI,PUJ,0,2020-04-06
BWI,CUN,0,2020-04-06
BWI,LIR,0,2020-04-06
BWI,SJD,0,2020-04-06
BWI,SAL,0,2020-04-06
BWI,SJO,0,2020-04-06
BWI,PLS,0,2020-04-06
BWI,NAS,0,2020-04-06
BWI,YUL,0,2020-04-06
BWI,FRA,0,2020-04-06
CFK,ALG,0,2020-04-06
CFK,MRS,0,2020-04-06
CFK,CDG,0,2020-04-06
CHS,LHR,0,2020-04-06
CLE,CUN,0,2020-04-06
CLE,PUJ,0,2020-04-06
CLE,YYZ,0,2020-04-06
CLT,CUN,1,2020-04-07
CLT,YYZ,1,2020-04-07
CLT,LHR,0,
CLT,MBJ,0,
CLT,ELH,0,
CLT,PUJ,0,
CLT,SJD,0,
CLT,STT,0,
CLT,SDQ,0,
CLT,ANU,0,
CLT,CDG,0,
CLT,MAD,0,
CLT,LIR,0,
CLT,BGI,0,
CLT,GND,0,
CLT,SKB,0,
CLT,SJO,0,
CLT,MEX,0,
CLT,YUL,0,
CLT,GDL,0,
CLT,GCM,0,
CLT,SXM,0,
CLT,AUA,0,
CLT,DUB,0,
CLT,CUR,0,
CLT,POP,0,
CLT,BCN,0,
CLT,BDA,0,
CLT,NAS,0,
CLT,UVF,0,
CLT,BZE,0,
CLT,CZM,0,
CLT,MUC,0,
CLT,GGT,0,
CLT,PLS,0,
CLT,FCO,0,
CLT,FRA,0,
CMH,CUN,0,2020-04-06
CMH,YYZ,0,2020-04-06
CVG,CUN,0,2020-04-06
CVG,YYZ,0,2020-04-06
CVG,CDG,0,2020-04-06
DCA,YYZ,1,2020-04-06
DCA,YOW,0,2020-04-06
DCA,BDA,0,2020-04-06
DCA,NAS,0,2020-04-06
DCA,YUL,0,2020-04-06
DEN,YVR,0,
DEN,LHR,0,
DEN,CUN,0,
DEN,SJD,0,
DEN,CUU,0,
DEN,LGW,0,
DEN,ZRH,0,
DEN,MTY,0,
DEN,YYZ,0,
DEN,CDG,0,
DEN,LIR,0,
DEN,KEF,0,
DEN,MEX,0,
DEN,YUL,0,
DEN,GDL,0,
DEN,GCM,0,
DEN,YEG,0,
DEN,YYC,0,
DEN,PTY,0,
DEN,YWG,0,
DEN,NAS,0,
DEN,BZE,0,
DEN,CZM,0,
DEN,MUC,0,
DEN,PVR,0,
DEN,NRT,0,
DEN,FCO,0,
DEN,FRA,0,
DFW,CUN,1,2020-04-07
DFW,LHR,1,2020-04-07
DFW,MEX,1,2020-04-07
DFW,SJD,1,2020-04-07
DFW,YYZ,1,2020-04-07
DFW,YVR,0,
DFW,MBJ,0,
DFW,PUJ,0,
DFW,TLV,0,
DFW,ICN,0,
DFW,SCL,0,
DFW,ACA,0,
DFW,SLP,0,
DFW,STT,0,
