country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,population,case_ratio,death_ratio
Cabo Verde,1008.8668000000009,-1405.549799999999,6169,335.0,79.0,3.0,1054.0,85.0,555987.0,0.0006025320735916487,5.395809614253571e-06
Cambodia,1316.6999999999973,11960.503799999988,7160,122.0,0.0,0.0,5034.0,122.0,16718965.0,7.297102422309036e-06,0.0
Cameroon,288.60000000000053,862.657500000001,80915,3529.0,2937.0,140.0,33635.0,1567.0,26545863.0,0.00013293973528003214,5.273891453444177e-06
Canada,49506.46019999921,-91876.65240000008,2303086,80492.0,134563.0,6028.0,0.0,0.0,37742154.0,0.0021326816694139925,0.0001597153146055204
Central African Republic,436.3326000000004,1382.000399999999,3708,366.0,0.0,0.0,341.0,18.0,4829767.0,7.578005315784385e-05,0.0
Chad,958.1604000000008,1161.3964,6672,545.0,614.0,56.0,1504.0,139.0,16425864.0,3.317938100546796e-05,3.409257497809552e-06
Chile,-2782.657799999997,-5580.353999999998,863222,49579.0,9710.0,509.0,372391.0,21507.0,19116201.0,0.0025935592537450303,2.662662942286493e-05
China,128240.16049999831,436562.0064000075,8283019,84063.0,352191.0,4638.0,6221124.0,79310.0,1439323776.0,5.840451009127219e-05,3.2223465472719323e-06
Colombia,342.8174999999997,-5572.297500000007,324607,16935.0,13051.0,613.0,69130.0,4050.0,50882891.0,0.0003328230701356965,1.2047271449257866e-05
Comoros,-232.91,866.666,159,11.0,14.0,1.0,18.0,3.0,869601.0,1.2649479473919648e-05,1.1499526794472408e-06
Congo Republic,-266.5277999999996,1436.074200000001,9420,420.0,377.0,15.0,1331.0,132.0,5518087.0,7.611333420440816e-05,2.7183333644431484e-06
DR Congo,-282.6809999999996,1523.1090000000013,29057,1629.0,1535.0,61.0,3691.0,290.0,89561403.0,1.8188638692942317e-05,6.810969676301297e-07
Costa Rica,731.1675000000008,-6281.504999999992,35975,882.0,286.0,10.0,12668.0,577.0,5094118.0,0.0001731408656022495,1.963048362837296e-06
Cote d'Ivoire,527.8000000000005,-388.297,54959,2153.0,633.0,28.0,21907.0,1050.0,26378274.0,8.162020001763572e-05,1.06147961007608e-06
Croatia,3833.499999999995,1292.000000000002,97287,2232.0,2753.0,96.0,50475.0,1967.0,4105267.0,0.0005436917988525473,2.338459349903429e-05
Cuba,1518.0,-5520.0,59870,1887.0,2300.0,79.0,28935.0,1538.0,11326616.0,0.00016659874405559435,6.974722194166378e-06
Cyprus,2529.1008000000043,2406.952800000003,38924,918.0,697.0,17.0,10358.0,515.0,1207359.0,0.0007603372319252186,1.4080319109726271e-05
Czech Republic,3985.4000000000065,1237.8399999999983,364859,8647.0,9931.0,302.0,123921.0,5726.0,10708981.0,0.0008074531087504964,2.8200628986081868e-05
Denmark,9435.633899999997,256.44079999999923,435207,11231.0,19503.0,551.0,264578.0,9603.0,5792202.0,0.0019389862439189794,9.512789781848077e-05
Diamond Princess,0.0,0.0,66951,1.0,896.0,13.0,40323.0,651.0,,,
Djibouti,744.9813000000007,2683.188899999999,39968,1618.0,104.0,7.0,20704.0,1033.0,988000.0,0.001637651821862348,7.08502024291498e-06
Dominica,909.4849999999993,-3620.8890000000038,843,16.0,0.0,0.0,475.0,16.0,71986.0,0.0002222654405023199,0.0
Dominican Republic,1498.8559999999977,-5613.015999999994,315275,13223.0,13113.0,441.0,70366.0,6613.0,10847910.0,0.0012189444787060364,4.065299214318703e-05
Ecuador,-146.49599999999984,-6254.671999999993,920418,34151.0,51765.0,2839.0,85820.0,3457.0,17643054.0,0.0019356626126066383,0.0001609131843047128
Egypt,2496.0,2880.0,268041,13484.0,16328.0,659.0,65116.0,3742.0,102334404.0,0.000131764093725508,6.439672038349879e-06
El Salvador,855.2404000000008,-5511.582999999995,22563,1498.0,543.0,30.0,7047.0,502.0,6486205.0,0.0002309516890076709,4.625200714439337e-06
Equatorial Guinea,99.0,660.0,12076,825.0,94.0,7.0,421.0,22.0,1402985.0,0.000588031946171912,4.989361967519254e-06
Eritrea,910.7639999999993,2386.9380000000006,1833,39.0,0.0,0.0,793.0,39.0,3546421.0,1.0997002329954622e-05,0.0
Estonia,4863.409899999997,2076.1288000000004,81446,1791.0,2111.0,64.0,16132.0,938.0,1326535.0,0.0013501339957106295,4.8245994263249745e-05
Eswatini,-1777.0075000000015,2108.215299999998,3990,208.0,48.0,2.0,870.0,87.0,1160164.0,0.00017928499763826493,1.7238942080602398e-06
Ethiopia,621.8599999999994,2753.299600000003,7116,365.0,156.0,5.0,2417.0,120.0,114963588.0,3.1749183054377184e-06,4.349203158133861e-08
Fiji,-1098.2307999999996,11040.029999999999,853,18.0,0.0,0.0,371.0,15.0,896445.0,2.007931328748557e-05,0.0
Finland,7168.0,2912.0,223764,6399.0,7991.0,301.0,114712.0,5000.0,5540720.0,0.001154904055790583,5.4325069666036184e-05
France,7853.082200000007,2988.496300000146,7470792,180933.0,1011482.0,28025.0,2067719.0,62678.0,65273511.0,0.0027719207566450654,0.0004293472125315888
Gabon,-53.84789999999995,777.8298000000009,18301,1502.0,212.0,12.0,3308.0,318.0,2225734.0,0.0006748335605243034,5.391479844401892e-06
Gambia,860.364800000001,-979.8464000000007,650,24.0,58.0,1.0,285.0,13.0,2416668.0,9.931029003570205e-06,4.137928751487585e-07
Georgia,3554.493599999997,3641.9796000000083,23121,707.0,299.0,12.0,8787.0,456.0,3989167.0,0.00017722998310173527,3.0081468136079536e-06
Germany,5814.0,1026.0,7786939,177778.0,261866.0,8081.0,4985618.0,155681.0,83783942.0,0.0021218624447152416,9.645046302548047e-05
Ghana,532.4155000000007,-68.55440000000007,105449,6096.0,717.0,31.0,15875.0,1773.0,31072940.0,0.00019618356035830533,9.97652619932327e-07
Greece,3282.232800000001,1833.2411999999997,129455,2840.0,6322.0,165.0,37540.0,1374.0,10423054.0,0.0002724729239625929,1.5830293117545013e-05
Greenland,4660.948500000003,-2769.2794999999987,620,11.0,0.0,0.0,505.0,11.0,5677.0,0.001937643121366919,0.0
Grenada,714.873499999999,-3639.0610000000033,884,22.0,0.0,0.0,359.0,14.0,112523.0,0.0001955155834807106,0.0
Guatemala,1057.4945,-6045.463600000003,30109,2133.0,712.0,43.0,2879.0,155.0,17915568.0,0.00011905846356643563,2.400147179257727e-06
Guinea,676.3008000000007,-659.3687999999995,57008,2863.0,311.0,18.0,17404.0,1525.0,13132795.0,0.0002180038598028828,1.3706145569164828e-06
Guinea-Bissau,661.0072000000004,-850.1023999999994,14410,1038.0,55.0,6.0,580.0,42.0,1968001.0,0.0005274387563827457,3.048778938628588e-06
Guyana,345.0,-4053.75,3659,125.0,390.0,10.0,910.0,46.0,786552.0,0.0001589214699091732,1.2713717592733856e-05
Haiti,1157.2431999999985,-4409.397199999997,5744,533.0,375.0,21.0,376.0,21.0,11402528.0,4.674402027339902e-05,1.8416968588018377e-06
Vatican,3142.7175000000025,934.0049999999993,528,12.0,0.0,0.0,84.0,2.0,801.0,0.0149812734082397,0.0
Honduras,1064.0000000000014,-6036.933,50341,2955.0,3263.0,147.0,4678.0,349.0,9904607.0,0.0002983460121133529,1.484157826756781e-05
Hungary,3631.5124999999953,1501.7541000000015,113996,3556.0,12261.0,467.0,25873.0,1412.0,9660351.0,0.00036810256687360533,4.834192877670801e-05
Iceland,5326.974199999996,-1559.7056000000005,95654,1802.0,451.0,10.0,65902.0,1789.0,341243.0,0.005280694402522543,2.9304630424653398e-05
India,2331.0,8658.0,1756290,106475.0,56827.0,3302.0,520682.0,42309.0,1380004385.0,7.71555519368875e-05,2.392746020151233e-06
Indonesia,-62.354699999999916,8999.7827,447186,18496.0,33762.0,1221.0,73849.0,4467.0,273523615.0,6.76212180070814e-05,4.463965570212283e-06
Iran,2912.0,4823.0,4844466,124603.0,301493.0,7119.0,3244590.0,97173.0,83992949.0,0.0014834935727759718,8.475711455255607e-05
Iraq,2838.0,3784.0,102308,3611.0,4865.0,131.0,60180.0,2366.0,40222493.0,8.97756387203548e-05,3.256884151860005e-06
Ireland,4304.534400000005,-623.0600999999994,823541,24251.0,44239.0,1561.0,424453.0,19470.0,4937786.0,0.0049113104537134656,0.0003161335869962773
Israel,2759.0,3115.0,705976,16659.0,8843.0,278.0,318650.0,13435.0,8655535.0,0.0019246643910515063,3.2118176403884914e-05
Italy,4730.0,1320.0,10292421,226699.0,1339303.0,32169.0,3385295.0,129401.0,60461826.0,0.003749456723321588,0.0005320547216023545
Jamaica,1267.672,-5410.824999999996,14767,520.0,329.0,9.0,2187.0,145.0,2961167.0,0.00017560644164952533,3.039342259318708e-06
Japan,4284.0,16422.0,579819,16367.0,18732.0,768.0,176443.0,11564.0,126476461.0,0.00012940747923046329,6.072276168448452e-06
Jordan,2436.7199999999975,2847.7800000000043,24490,649.0,385.0,9.0,14324.0,417.0,10203134.0,6.36079071391202e-05,8.82081917183485e-07
Kazakhstan,3265.3328000000033,4550.811599999997,144354,6751.0,1040.0,35.0,48768.0,3598.0,18776707.0,0.0003595412124181306,1.864011618224644e-06
Kenya,-1.604800000000001,2577.6215999999963,20383,963.0,960.0,50.0,6137.0,358.0,53771296.0,1.7909183368018507e-05,9.29864141641667e-07
South Korea,4284.0,15232.0,779999,11110.0,14113.0,263.0,464980.0,10066.0,51269185.0,0.00021669936824624772,5.129787025091193e-06
Kosovo,2343.144980000002,1149.6637349999992,30587,989.0,849.0,29.0,13884.0,769.0,,,
Kuwait,2537.0,4106.5,233662,16764.0,1519.0,121.0,67208.0,4681.0,4270571.0,0.003925470387917681,2.8333447681820534e-05
Kyrgyz Republic,2595.8772000000026,4710.264299999995,32449,1243.0,379.0,14.0,17651.0,898.0,6524195.0,0.0001905215892535401,2.145858607843573e-06
Laos,1131.80739,5842.243271999992,914,19.0,0.0,0.0,291.0,14.0,7275560.0,2.6114828274387126e-06,0.0
Latvia,4493.488400000008,1943.652800000001,41249,1012.0,526.0,21.0,12831.0,694.0,1886198.0,0.0005365290388389766,1.113350772294319e-05
Lebanon,3013.0682999999985,3191.744699999993,39882,954.0,1212.0,26.0,7382.0,251.0,6825445.0,0.0001397711064992832,3.809275439183819e-06
Lesotho,-207.26991599999997,197.635256,7,1.0,0.0,0.0,0.0,0.0,2142249.0,4.667991442638087e-07,0.0
Liberia,417.82649999999927,-612.9175,5841,233.0,580.0,23.0,1979.0,125.0,5057681.0,4.6068544061992046e-05,4.547538684230974e-06
Libya,1501.1007000000004,982.014867000001,2431,68.0,95.0,3.0,802.0,35.0,6871292.0,9.896246586522594e-06,4.3659911411129086e-07
Liechtenstein,3629.779999999998,735.3499999999993,4623,82.0,46.0,1.0,2420.0,55.0,38128.0,0.0021506504406210657,2.6227444397817876e-05
Lithuania,4523.8908000000065,1958.2666000000006,65085,1562.0,1858.0,60.0,21866.0,1025.0,2722289.0,0.0005737818431474395,2.2040275665074503e-05
