date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,continent,index
2020-02-02,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-02-02,France,46.2276,2.2137,6,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-02-02,Germany,51.0,9.0,10,2.0,0.0,0.0,0.0,0.0,Europe,5
2020-02-02,India,21.0,78.0,2,1.0,0.0,0.0,0.0,0.0,Asia,48
2020-02-02,Italy,43.0,12.0,2,0.0,0.0,0.0,0.0,0.0,Europe,2
2020-02-02,Japan,36.0,138.0,20,0.0,0.0,0.0,1.0,0.0,Asia,17
2020-02-02,South Korea,36.0,128.0,15,3.0,0.0,0.0,0.0,0.0,Asia,8
2020-02-02,Malaysia,2.5,112.5,8,0.0,0.0,0.0,0.0,0.0,Asia,18
2020-02-02,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-02-02,Philippines,13.0,122.0,2,1.0,1.0,1.0,0.0,0.0,Asia,45
2020-02-02,Russia,60.0,90.0,2,0.0,0.0,0.0,0.0,0.0,Europe,47
2020-02-02,Singapore,1.2833,103.8333,18,2.0,0.0,0.0,0.0,0.0,Asia,32
2020-02-02,Spain,40.0,-4.0,1,0.0,0.0,0.0,0.0,0.0,Europe,4
2020-02-02,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-02-02,Sweden,63.0,16.0,1,0.0,0.0,0.0,0.0,0.0,Europe,15
2020-02-02,Taiwan,23.7,121.0,10,0.0,0.0,0.0,0.0,0.0,Asia,60
2020-02-02,Thailand,15.0,101.0,19,0.0,0.0,0.0,5.0,0.0,Asia,40
2020-02-02,United States,270.19,-751.5696999999999,8,0.0,0.0,0.0,0.0,0.0,America,6
2020-02-02,United Arab Emirates,24.0,54.0,5,1.0,0.0,0.0,0.0,0.0,Asia,54
2020-02-02,United Kingdom,55.3781,-3.4360000000000004,2,0.0,0.0,0.0,0.0,0.0,Europe,10
2020-02-02,Vietnam,16.0,108.0,6,0.0,0.0,0.0,1.0,0.0,Asia,68
2020-02-03,Australia,-134.6276,588.1731,12,0.0,0.0,0.0,2.0,0.0,Oceania,22
2020-02-03,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-02-03,Canada,100.53649999999999,-208.44389999999999,4,0.0,0.0,0.0,0.0,0.0,America,20
2020-02-03,China,1083.3366999999998,3684.4197000000004,19716,3086.0,425.0,64.0,614.0,151.0,Asia,1
2020-02-03,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-02-03,France,46.2276,2.2137,6,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-02-03,Germany,51.0,9.0,12,2.0,0.0,0.0,0.0,0.0,Europe,5
2020-02-03,India,21.0,78.0,3,1.0,0.0,0.0,0.0,0.0,Asia,48
2020-02-03,Italy,43.0,12.0,2,0.0,0.0,0.0,0.0,0.0,Europe,2
2020-02-03,Japan,36.0,138.0,20,0.0,0.0,0.0,1.0,0.0,Asia,17
2020-02-03,South Korea,36.0,128.0,15,0.0,0.0,0.0,0.0,0.0,Asia,8
2020-02-03,Malaysia,2.5,112.5,8,0.0,0.0,0.0,0.0,0.0,Asia,18
2020-02-03,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-02-03,Philippines,13.0,122.0,2,0.0,1.0,0.0,0.0,0.0,Asia,45
2020-02-03,Russia,60.0,90.0,2,0.0,0.0,0.0,0.0,0.0,Europe,47
2020-02-03,Singapore,1.2833,103.8333,18,0.0,0.0,0.0,0.0,0.0,Asia,32
2020-02-03,Spain,40.0,-4.0,1,0.0,0.0,0.0,0.0,0.0,Europe,4
2020-02-03,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-02-03,Sweden,63.0,16.0,1,0.0,0.0,0.0,0.0,0.0,Europe,15
2020-02-03,Taiwan,23.7,121.0,10,0.0,0.0,0.0,0.0,0.0,Asia,60
2020-02-03,Thailand,15.0,101.0,19,0.0,0.0,0.0,5.0,0.0,Asia,40
2020-02-03,United States,306.76610000000005,-872.5572999999999,11,3.0,0.0,0.0,0.0,0.0,America,6
2020-02-03,United Arab Emirates,24.0,54.0,5,0.0,0.0,0.0,0.0,0.0,Asia,54
2020-02-03,United Kingdom,55.3781,-3.4360000000000004,2,0.0,0.0,0.0,0.0,0.0,Europe,10
2020-02-03,Vietnam,16.0,108.0,8,2.0,0.0,0.0,1.0,0.0,Asia,68
2020-02-04,Australia,-134.6276,588.1731,13,1.0,0.0,0.0,2.0,0.0,Oceania,22
2020-02-04,Belgium,50.8333,4.0,1,1.0,0.0,0.0,0.0,0.0,Europe,13
2020-02-04,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-02-04,Canada,100.53649999999999,-208.44389999999999,4,0.0,0.0,0.0,0.0,0.0,America,20
2020-02-04,China,1083.3366999999998,3684.4197000000004,23707,3991.0,491.0,66.0,843.0,229.0,Asia,1
2020-02-04,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-02-04,France,46.2276,2.2137,6,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-02-04,Germany,51.0,9.0,12,0.0,0.0,0.0,0.0,0.0,Europe,5
2020-02-04,India,21.0,78.0,3,0.0,0.0,0.0,0.0,0.0,Asia,48
2020-02-04,Italy,43.0,12.0,2,0.0,0.0,0.0,0.0,0.0,Europe,2
2020-02-04,Japan,36.0,138.0,22,2.0,0.0,0.0,1.0,0.0,Asia,17
2020-02-04,South Korea,36.0,128.0,16,1.0,0.0,0.0,0.0,0.0,Asia,8
2020-02-04,Malaysia,2.5,112.5,10,2.0,0.0,0.0,0.0,0.0,Asia,18
2020-02-04,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-02-04,Philippines,13.0,122.0,2,0.0,1.0,0.0,0.0,0.0,Asia,45
2020-02-04,Russia,60.0,90.0,2,0.0,0.0,0.0,0.0,0.0,Europe,47
2020-02-04,Singapore,1.2833,103.8333,24,6.0,0.0,0.0,0.0,0.0,Asia,32
2020-02-04,Spain,40.0,-4.0,1,0.0,0.0,0.0,0.0,0.0,Europe,4
2020-02-04,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-02-04,Sweden,63.0,16.0,1,0.0,0.0,0.0,0.0,0.0,Europe,15
2020-02-04,Taiwan,23.7,121.0,11,1.0,0.0,0.0,0.0,0.0,Asia,60
2020-02-04,Thailand,15.0,101.0,25,6.0,0.0,0.0,5.0,0.0,Asia,40
2020-02-04,United States,306.76610000000005,-872.5572999999999,11,0.0,0.0,0.0,0.0,0.0,America,6
2020-02-04,United Arab Emirates,24.0,54.0,5,0.0,0.0,0.0,0.0,0.0,Asia,54
2020-02-04,United Kingdom,55.3781,-3.4360000000000004,2,0.0,0.0,0.0,0.0,0.0,Europe,10
2020-02-04,Vietnam,16.0,108.0,8,0.0,0.0,0.0,1.0,0.0,Asia,68
2020-02-05,Australia,-134.6276,588.1731,13,0.0,0.0,0.0,2.0,0.0,Oceania,22
2020-02-05,Belgium,50.8333,4.0,1,0.0,0.0,0.0,0.0,0.0,Europe,13
2020-02-05,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-02-05,Canada,100.53649999999999,-208.44389999999999,5,1.0,0.0,0.0,0.0,0.0,America,20
2020-02-05,China,1083.3366999999998,3684.4197000000004,27440,3733.0,563.0,72.0,1115.0,272.0,Asia,1
2020-02-05,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-02-05,France,46.2276,2.2137,6,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-02-05,Germany,51.0,9.0,12,0.0,0.0,0.0,0.0,0.0,Europe,5
2020-02-05,India,21.0,78.0,3,0.0,0.0,0.0,0.0,0.0,Asia,48
2020-02-05,Italy,43.0,12.0,2,0.0,0.0,0.0,0.0,0.0,Europe,2
2020-02-05,Japan,36.0,138.0,22,0.0,0.0,0.0,1.0,0.0,Asia,17
2020-02-05,South Korea,36.0,128.0,19,3.0,0.0,0.0,0.0,0.0,Asia,8
2020-02-05,Malaysia,2.5,112.5,12,2.0,0.0,0.0,0.0,0.0,Asia,18
2020-02-05,Nepal,28.1667,84.25,1,0.0,0.0,0.0,0.0,0.0,Asia,140
2020-02-05,Philippines,13.0,122.0,2,0.0,1.0,0.0,0.0,0.0,Asia,45
2020-02-05,Russia,60.0,90.0,2,0.0,0.0,0.0,0.0,0.0,Europe,47
2020-02-05,Singapore,1.2833,103.8333,28,4.0,0.0,0.0,0.0,0.0,Asia,32
2020-02-05,Spain,40.0,-4.0,1,0.0,0.0,0.0,0.0,0.0,Europe,4
2020-02-05,Sri Lanka,7.0,81.0,1,0.0,0.0,0.0,0.0,0.0,Asia,78
2020-02-05,Sweden,63.0,16.0,1,0.0,0.0,0.0,0.0,0.0,Europe,15
2020-02-05,Taiwan,23.7,121.0,11,0.0,0.0,0.0,0.0,0.0,Asia,60
2020-02-05,Thailand,15.0,101.0,25,0.0,0.0,0.0,5.0,0.0,Asia,40
2020-02-05,United States,306.76610000000005,-872.5572999999999,11,0.0,0.0,0.0,0.0,0.0,America,6
2020-02-05,United Arab Emirates,24.0,54.0,5,0.0,0.0,0.0,0.0,0.0,Asia,54
2020-02-05,United Kingdom,55.3781,-3.4360000000000004,2,0.0,0.0,0.0,0.0,0.0,Europe,10
2020-02-05,Vietnam,16.0,108.0,8,0.0,0.0,0.0,1.0,0.0,Asia,68
2020-02-06,Australia,-134.6276,588.1731,14,1.0,0.0,0.0,2.0,0.0,Oceania,22
2020-02-06,Belgium,50.8333,4.0,1,0.0,0.0,0.0,0.0,0.0,Europe,13
2020-02-06,Cambodia,11.55,104.9167,1,0.0,0.0,0.0,0.0,0.0,Asia,90
2020-02-06,Canada,100.53649999999999,-208.44389999999999,5,0.0,0.0,0.0,0.0,0.0,America,20
2020-02-06,China,1083.3366999999998,3684.4197000000004,30587,3147.0,633.0,70.0,1477.0,362.0,Asia,1
2020-02-06,Finland,64.0,26.0,1,0.0,0.0,0.0,0.0,0.0,Europe,30
2020-02-06,France,46.2276,2.2137,6,0.0,0.0,0.0,0.0,0.0,Europe,7
2020-02-06,Germany,51.0,9.0,12,0.0,0.0,0.0,0.0,0.0,Europe,5
2020-02-06,India,21.0,78.0,3,0.0,0.0,0.0,0.0,0.0,Asia,48
2020-02-06,Italy,43.0,12.0,2,0.0,0.0,0.0,0.0,0.0,Europe,2
2020-02-06,Japan,36.0,138.0,45,23.0,0.0,0.0,1.0,0.0,Asia,17
2020-02-06,South Korea,36.0,128.0,23,4.0,0.0,0.0,0.0,0.0,Asia,8
