date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,age,age_diff_kor,cfr_adj,cum_case_adj,cum_case_diff
2020-05-19,Djibouti,11.8251,42.5903,1618,100.0,7.0,0.0,1033.0,15.0,66.7428496889975,-1.6154448167814053,0.021499107187420825,1618.0,0.0
2020-05-19,Dominica,15.415,-61.371,16,0.0,0.0,0.0,16.0,0.0,,,,16.0,0.0
2020-05-19,Dominican Republic,18.7357,-70.1627,13223,498.0,441.0,7.0,6613.0,0.0,68.1868559973049,-0.17143850847399733,0.023441730784454797,18813.0,5590.0
2020-05-19,Ecuador,-1.8312,-78.1834,34151,569.0,2839.0,40.0,3457.0,24.0,68.23268273758217,-0.12561176819673392,0.02350338155878009,120791.0,86640.0
2020-05-19,Egypt,26.0,30.0,13484,720.0,659.0,14.0,3742.0,302.0,66.83476212952151,-1.5235323762573927,0.021622757115260974,30477.0,16993.0
2020-05-19,El Salvador,13.7942,-88.8965,1498,85.0,30.0,0.0,502.0,28.0,68.76711768271007,0.40882317693116477,0.024222357597535726,1498.0,0.0
2020-05-19,Equatorial Guinea,1.5,10.0,825,106.0,7.0,0.0,22.0,0.0,66.14553504144689,-2.2127594643320094,0.020695539001804,825.0,0.0
2020-05-19,Eritrea,15.1794,39.7823,39,0.0,0.0,0.0,39.0,0.0,67.56011216263582,-0.7981823431430826,0.022598571474471692,39.0,0.0
2020-05-19,Estonia,58.5953,25.0136,1791,7.0,64.0,0.0,938.0,0.0,70.09992022113354,1.741625715354644,0.02601537861581859,2460.0,669.0
2020-05-19,Eswatini,-26.5225,31.4659,208,3.0,2.0,0.0,87.0,9.0,67.70976221409796,-0.6485322916809366,0.022799895886695676,208.0,0.0
2020-05-19,Ethiopia,9.145,40.4897,365,13.0,5.0,0.0,120.0,4.0,67.0963718633823,-1.2619226423965983,0.021974701036342213,365.0,0.0
2020-05-19,Fiji,-17.7134,178.065,18,0.0,0.0,0.0,15.0,0.0,65.93760862009037,-2.4206858856885276,0.020415815312059556,18.0,0.0
2020-05-19,Finland,64.0,26.0,6399,19.0,301.0,1.0,5000.0,0.0,69.99407345061509,1.63577894483619,0.025872982815401343,11634.0,5235.0
2020-05-19,France,91.3624,59.71919999999999,180933,882.0,28025.0,-217.0,62678.0,835.0,70.53092314402973,2.1726286382508277,0.02659520741822192,1053761.0,872828.0
2020-05-19,Gabon,-0.8037,11.6094,1502,70.0,12.0,1.0,318.0,17.0,67.0139395923026,-1.3443549134762947,0.02186380479299808,1502.0,0.0
2020-05-19,Gambia,13.4432,-15.3101,24,0.0,1.0,0.0,13.0,0.0,66.38195968868486,-1.9763348170940418,0.02101360139253085,24.0,0.0
2020-05-19,Georgia,42.3154,43.3569,707,6.0,12.0,0.0,456.0,24.0,68.58570658992646,0.2274120841475593,0.02397830501440108,707.0,0.0
2020-05-19,Germany,51.0,9.0,177778,1227.0,8081.0,78.0,155681.0,640.0,70.57629932517204,2.218004819393144,0.026656252054746865,303156.0,125378.0
2020-05-19,Ghana,7.9465,-1.0232,6096,361.0,31.0,2.0,1773.0,19.0,65.8030478694431,-2.555246636335795,0.02023479055618547,6096.0,0.0
2020-05-19,Greece,39.0742,21.8243,2840,4.0,165.0,0.0,1374.0,0.0,70.99346501113614,2.6351705053572374,0.027217465603998334,6062.0,3222.0
2020-05-19,Greenland,71.7069,-42.6043,11,0.0,0.0,0.0,11.0,0.0,,,,11.0,0.0
2020-05-19,Grenada,12.1165,-61.679,22,0.0,0.0,0.0,14.0,0.0,67.83669933078394,-0.5215951749949568,0.02297066455771532,22.0,0.0
2020-05-19,Guatemala,15.7835,-90.2308,2133,221.0,43.0,8.0,155.0,17.0,68.28306040624891,-0.07523409952999316,0.023571154703088775,2133.0,0.0
2020-05-19,Guinea,9.9456,-9.6966,2863,67.0,18.0,2.0,1525.0,262.0,66.07982580167146,-2.278468704107439,0.02060714027459862,2863.0,0.0
2020-05-19,Guinea-Bissau,11.8037,-15.1804,1038,6.0,6.0,2.0,42.0,4.0,65.9227272222037,-2.435567283575196,0.02039579534779404,1038.0,0.0
2020-05-19,Guyana,5.0,-58.75,125,1.0,10.0,0.0,46.0,2.0,67.39469889687349,-0.9635956089054076,0.022376040789194425,447.0,322.0
2020-05-19,Haiti,18.9712,-72.2852,533,0.0,21.0,0.0,21.0,0.0,67.39905730571087,-0.9592372000680314,0.022381904162369667,938.0,405.0
2020-05-19,Vatican,41.9029,12.4534,12,0.0,0.0,0.0,2.0,0.0,,,,12.0,0.0
2020-05-19,Honduras,15.2,-86.2419,2955,157.0,147.0,1.0,349.0,9.0,67.98305465585936,-0.37523984991953796,0.023167556570172207,6345.0,3390.0
2020-05-19,Hungary,47.1625,19.5033,3556,21.0,467.0,5.0,1412.0,12.0,69.13934556278598,0.7810510570070761,0.024723116257071624,18889.0,15333.0
2020-05-19,Iceland,64.9631,-19.0208,1802,0.0,10.0,0.0,1789.0,3.0,69.09306079266472,0.7347662868858151,0.02466084929459121,1802.0,0.0
2020-05-19,India,21.0,78.0,106475,6147.0,3302.0,146.0,42309.0,3076.0,66.84800217003767,-1.5102923357412266,0.02164056895928438,152584.0,46109.0
2020-05-19,Indonesia,-0.7893,113.9213,18496,486.0,1221.0,30.0,4467.0,143.0,66.52583437368683,-1.8324601320920664,0.021207156196614965,57575.0,39079.0
2020-05-19,Iran,32.0,53.0,124603,2111.0,7119.0,62.0,97173.0,1512.0,66.86743807938798,-1.4908564263909199,0.021666716113847698,328568.0,203965.0
2020-05-19,Iraq,33.0,44.0,3611,57.0,131.0,4.0,2366.0,56.0,66.91770533631286,-1.4405891694660369,0.021734340721093984,6027.0,2416.0
2020-05-19,Ireland,53.1424,-7.6921,24251,51.0,1561.0,14.0,19470.0,0.0,69.07624164672882,0.7179471409499172,0.024638222475311364,63357.0,39106.0
2020-05-19,Israel,31.0,35.0,16659,16.0,278.0,2.0,13435.0,182.0,69.45057841794495,1.092283912166053,0.025141818228888335,16659.0,0.0
2020-05-19,Italy,43.0,12.0,226699,813.0,32169.0,162.0,129401.0,2075.0,70.97451524939783,2.616220743618925,0.02719197246446062,1183033.0,956334.0
2020-05-19,Jamaica,18.1096,-77.2975,520,0.0,9.0,0.0,145.0,14.0,68.28974626523811,-0.06854824054079245,0.023580149198032557,520.0,0.0
2020-05-19,Japan,36.0,138.0,16367,62.0,768.0,19.0,11564.0,0.0,71.78044868114424,3.4221541753653355,0.028276195776465604,27161.0,10794.0
2020-05-19,Jordan,31.24,36.51,649,20.0,9.0,0.0,417.0,4.0,67.16540399971643,-1.1928905060624686,0.022067570060684313,649.0,0.0
2020-05-19,Kazakhstan,48.0196,66.9237,6751,0.0,35.0,0.0,3598.0,129.0,67.18476402095655,-1.1735304848223507,0.02209361512287259,6751.0,0.0
2020-05-19,Kenya,-0.0236,37.9062,963,51.0,50.0,0.0,358.0,22.0,65.80740604341652,-2.55088846236238,0.020240653613397917,2470.0,1507.0
2020-05-19,South Korea,36.0,128.0,11110,32.0,263.0,0.0,10066.0,128.0,68.3582945057789,0.0,0.02367236723672367,11110.0,0.0
2020-05-19,Kosovo,42.602636,20.902977,989,34.0,29.0,0.0,769.0,78.0,,,,989.0,0.0
2020-05-19,Kuwait,29.5,47.75,16764,1073.0,121.0,3.0,4681.0,342.0,64.07292805794086,-4.285366447838044,0.017907258084765874,16764.0,0.0
2020-05-19,Kyrgyz Republic,41.2044,74.7661,1243,27.0,14.0,0.0,898.0,71.0,66.05556028570075,-2.3027342200781504,0.020574495843859144,1243.0,0.0
2020-05-19,Laos,19.85627,102.495496,19,0.0,0.0,0.0,14.0,0.0,66.40768555169709,-1.9506089540818152,0.021048210430077367,19.0,0.0
2020-05-19,Latvia,56.8796,24.6032,1012,3.0,21.0,2.0,694.0,32.0,70.08576619531469,1.7274716895357898,0.025996337186158243,1012.0,0.0
2020-05-19,Lebanon,33.8547,35.8623,954,23.0,26.0,0.0,251.0,0.0,67.69385662359541,-0.664437882183492,0.02277849807474897,1141.0,187.0
2020-05-19,Lesotho,-29.609988,28.233608,1,0.0,0.0,0.0,0.0,0.0,67.07943519368689,-1.2788593120920098,0.021951916112193205,1.0,0.0
2020-05-19,Liberia,6.4281,-9.4295,233,4.0,23.0,1.0,125.0,2.0,66.45641540103566,-1.9018791047432444,0.021113766760863746,1089.0,856.0
2020-05-19,Libya,26.3351,17.228331,68,3.0,3.0,0.0,35.0,0.0,67.22818625180042,-1.1301082539784773,0.0221520311074759,68.0,0.0
2020-05-19,Liechtenstein,47.14,9.55,82,0.0,1.0,0.0,55.0,0.0,,,,82.0,0.0
2020-05-19,Lithuania,55.1694,23.8813,1562,15.0,60.0,1.0,1025.0,28.0,70.31704251435752,1.958748008578624,0.02630747352415277,2281.0,719.0
2020-05-19,Luxembourg,49.8153,6.1296,3958,11.0,109.0,2.0,3718.0,3.0,69.44615741927214,1.0878629134932396,0.025135870653524673,4336.0,378.0
2020-05-19,MS Zaandam,0.0,0.0,9,0.0,2.0,0.0,0.0,0.0,,,,9.0,0.0
2020-05-19,Madagascar,-18.7669,46.8691,326,4.0,2.0,1.0,119.0,0.0,66.27685827448488,-2.0814362312940204,0.02087220832095498,326.0,0.0
2020-05-19,Malawi,-13.254307999999998,34.301525,70,0.0,3.0,0.0,27.0,0.0,66.6067375691772,-1.7515569366017019,0.021315995372545752,70.0,0.0
2020-05-19,Malaysia,2.5,112.5,6978,37.0,114.0,1.0,5646.0,31.0,67.08088796365281,-1.2774065421260872,0.021953870525550423,6978.0,0.0
2020-05-19,Maldives,3.2028,73.2207,1143,37.0,4.0,0.0,91.0,33.0,67.62674444838366,-0.7315500573952392,0.02268821197664498,1143.0,0.0
2020-05-19,Mali,17.570692,-3.996166000000001,901,27.0,53.0,1.0,529.0,17.0,66.30223231418702,-2.0560621915918773,0.020906344050136964,2535.0,1634.0
2020-05-19,Malta,35.9375,14.3754,569,11.0,6.0,0.0,460.0,4.0,69.44286208533474,1.0845675795558378,0.025131437436418852,569.0,0.0
2020-05-19,Mauritania,21.0079,10.9408,131,50.0,4.0,0.0,7.0,0.0,66.40268311839672,-1.9556113873821772,0.021041480649940006,190.0,59.0
2020-05-19,Mauritius,-20.2,57.5,332,0.0,10.0,0.0,322.0,0.0,67.49113547049208,-0.8671590352868179,0.022505777039272284,444.0,112.0
2020-05-19,Mexico,23.6345,-102.5528,54346,2713.0,5666.0,334.0,37325.0,1937.0,68.04027067935854,-0.3180238264203581,0.02324452936228434,243756.0,189410.0
2020-05-19,Moldova,47.4116,28.3699,6340,202.0,221.0,4.0,2508.0,83.0,67.09744425505224,-1.2608502507266621,0.02197614372627459,10056.0,3716.0
2020-05-19,Monaco,43.7333,7.4167,97,0.0,4.0,0.0,87.0,0.0,,,,97.0,0.0
2020-05-19,Mongolia,46.8625,103.8467,140,0.0,0.0,0.0,26.0,2.0,66.2195790442715,-2.1387154615074024,0.020795150496766605,140.0,0.0
2020-05-19,Montenegro,42.5,19.3,324,0.0,9.0,0.0,312.0,1.0,68.28662209285574,-0.07167241292316362,0.023575946244793172,382.0,58.0
2020-05-19,Morocco,31.7917,-7.0926,7023,71.0,193.0,1.0,3901.0,143.0,66.86127353398263,-1.4970209717962746,0.02165842294275798,8911.0,1888.0
2020-05-19,Mozambique,-18.665695,35.529562,146,1.0,0.0,0.0,44.0,0.0,66.65009864870981,-1.7081958570690858,0.021374329090209122,146.0,0.0
2020-05-19,Namibia,-22.9576,18.4904,16,0.0,0.0,0.0,13.0,0.0,66.89159982878277,-1.466694676996127,0.021699220947275305,16.0,0.0
2020-05-19,Nepal,28.1667,84.25,402,27.0,2.0,0.0,37.0,1.0,67.13570104385722,-1.2225934619216758,0.02202761063486893,402.0,0.0
